Timestamp,How do you feel today?,Emotion
2025-02-12 14:32:30.000, I’m overthinking every little thing I said today.,Anxious
2025-02-28 17:50:39.543, I love the way my favorite book makes me feel.  ,Happy
2025-02-12 14:32:30.000, I’m so worried about things I can’t control.,Anxious
2025-02-28 16:53:39.066,My heart is so full it could burst.  ,Happy
2025-02-12 14:32:58.000," My heart skipped a beat, and now I’m panicking.",Anxious
2025-02-28 16:41:55.384,I keep hoping someone will notice I’m not okay.  ,Sad
2025-02-13 14:33:01.000,"My body is exhausted, but my mind won’t let me rest.",Frustrated
2025-02-28 16:40:55.225,I hate pretending everything is fine.  ,Frustrated
2025-02-28 16:45:39.373," Some days, even breathing feels hard. ",Sad
2025-02-12 14:32:30.000, I’m so worried about things I can’t control.,Anxious
2025-02-12 14:32:58.000,"I feel like I’m sinking, and no one notices.",Frustrated
2025-02-12 14:32:30.000, I’m so worried about things I can’t control.,Anxious
2025-02-28 16:36:45.937,I wish I could stop overthinking everything.,Anxious
2025-02-28 16:56:06.114, Small things bring me so much joy.  ,Happy
2025-02-28 16:31:33.638, I wish people would stop making excuses.,Frustrated
2025-02-12 14:32:49.000,I feel like I’m losing control of my own emotions.,Happy
2025-02-12 14:32:30.000,I hate that my anxiety makes me doubt myself.,Sad
2025-02-12 14:32:58.000, I hate when people waste my time.,Sad
2025-02-28 17:37:47.441,I just want some peace and quiet.,Frustrated
2025-02-28 17:26:20.370, I hate when people don’t take responsibility.,Sad
2025-02-12 14:32:49.000,I hate how long everything takes.,Sad
2025-02-28 16:51:09.422," I made someone smile today, and that made me happy.  ",Happy
2025-02-28 17:18:49.548, I had the best conversation with an old friend. ,Happy
2025-02-28 17:54:47.134, My favorite person made me laugh today. ,Frustrated
2025-02-13 14:33:00.000,  I don’t know why I feel so tense.,Anxious
2025-02-12 14:32:58.000,I hate the way my body reacts to stress.,Anxious
2025-02-28 17:29:13.116,  I caught the perfect sunset today.  ,Happy
2025-02-13 14:33:01.000,I wish I could stop panicking over things that don’t matter.,Anxious
2025-02-13 14:32:59.000, I feel like I’m constantly preparing for the worst.,Sad
2025-02-12 14:32:30.000, I’m overthinking every little thing I said today.,Anxious
2025-02-28 16:45:39.373," Some days, even breathing feels hard. ",Sad
2025-02-13 14:33:01.000,"Today was heavy, and I don’t know why.",Frustrated
2025-02-12 14:32:49.000,  I don’t know how to let go of this fear.,Anxious
2025-02-13 14:33:00.000,My hands won’t stop shaking.,Frustrated
2025-02-12 14:32:58.000," My heart skipped a beat, and now I’m panicking.",Anxious
2025-02-12 14:32:30.000, I’m overthinking every little thing I said today.,Anxious
2025-02-28 16:32:11.405, I’m so afraid of making a mistake.,Sad
2025-02-12 14:32:49.000, I hate being ignored.,Sad
2025-02-12 14:32:49.000,It’s so frustrating when people don’t keep their promises.,Sad
2025-02-28 16:35:23.475,It feels like I’m watching my life instead of living it.,Frustrated
2025-02-28 17:55:42.785," Today was a good day, and I’m thankful for it.  ",Happy
2025-02-28 16:31:43.505,"I don’t know why I feel this way, but I do.",Frustrated
2025-02-28 17:52:00.911, I feel like I’m glowing with happiness.  ,Happy
2025-02-28 17:07:06.172, I just want to fix everything and move on.,Frustrated
2025-02-13 14:33:00.000, I don’t know why I feel so guilty all the time.,Sad
2025-02-12 14:32:30.000, I hate how people act like my feelings don’t matter.,Sad
2025-02-13 14:33:01.000,Nothing seems to be working out the way I want it to.,Frustrated
2025-02-28 16:55:43.058, I can’t stop humming my favorite song.  ,Happy
2025-02-28 16:42:27.123,"  I don’t want to cry, but I can’t help it.  ",Sad
2025-02-28 16:40:40.515,  I wish I could love myself the way I love others.  ,Happy
2025-02-12 14:32:49.000,I feel like I’m drowning in my own thoughts.,Happy
2025-02-12 14:32:58.000,I hate the way my body reacts to stress.,Anxious
2025-02-28 17:55:17.596,I feel like I could hug the whole world.   ,Frustrated
2025-02-28 17:56:01.256, I’m learning to let go and just enjoy the moment.  ,Happy
